"","assembly_bio_sample_accession","scientific_name","assembly_id_pri","taxonomic_group","assemblyInfo_biosample_geoLocName","assemblyInfo_biosample_latLon","assemblyInfo_comments","geo_location","latlon","lat","lon"
"324","SAMN31076064","Otocolobus manul","GCA_028564725.2","mammal",NA,NA,NA,NA,NA,NA,NA
"325","SAMN31394215","Malaclemys terrapin pileata","GCA_027887155.1","reptile",NA,NA,NA,NA,NA,NA,NA
"326","SAMN31530492","Harpia harpyja","GCA_026419915.1","bird",NA,NA,NA,NA,NA,NA,NA
"327","SAMN31536034","Gila orcuttii","GCA_026230005.1","ray-finned fish","USA: Tijeras Creek, Orange County, California","33.61250 N 117.6150 W",NA,"USA: Tijeras Creek, Orange County, California","33.61250 N 117.6150 W",33.6125,-117.615
"328","SAMN31536049","Eucyclogobius newberryi","GCA_026437355.1","ray-finned fish",NA,"34.03839 N 118.5831 W",NA,NA,"34.03839 N 118.5831 W",34.03839,-118.5831
"329","SAMN31536067","Corynorhinus townsendii","GCA_026230045.1","mammal","USA:California, Inyo County","37.466259 N 118.318325 W",NA,"USA:California, Inyo County","37.466259 N 118.318325 W",37.466259,-118.318325
"330","SAMN31669488","Hemicordylus capensis","GCA_027244095.1","reptile",NA,NA,NA,NA,NA,NA,NA
"331","SAMN31719513","Kogia breviceps","GCA_026419965.1","mammal",NA,NA,NA,NA,NA,NA,NA
"332","SAMN31801959","Podargus strigoides","GCA_028020825.1","bird","Australia: Taratonga zoo","33.84336411 S 151.24137756 E",NA,"Australia: Taratonga zoo","33.84336411 S 151.24137756 E",-33.84336411,151.24137756
"333","SAMN31801966","Monodelphis domestica","GCA_027887165.1","mammal",NA,NA,NA,NA,NA,NA,NA
"334","SAMN31801981","Neofelis nebulosa","GCA_028018385.1","mammal",NA,NA,NA,NA,NA,NA,NA
"335","SAMN31802211","Odontesthes bonariensis","GCA_027942865.1","ray-finned fish","Argentina: Universidad Nacional de Mar del Plata, Mar de Plata","35.62328713 S 57.99417012 W","Order and orientation of scaffolds are uncertain on chromosome 3 (between 33.20-35.12 Mb), chromosome 11 (between 2.16-4.15 Mb), and chromosome 22 (between 0-0.52 Mb)#","Argentina: Universidad Nacional de Mar del Plata, Mar de Plata","35.62328713 S 57.99417012 W",-35.62328713,-57.99417012
"336","SAMN31805221","Emys orbicularis","GCA_028017835.1","reptile",NA,NA,NA,NA,NA,NA,NA
"337","SAMN31805274","Gastrophryne carolinensis","GCA_027917425.1","amphibian","USA: Atlanta, Georgia","33.611291 N 84.298217 W","Both haplotypes were manually curated for chromosomes, but haplotype 1 received more extensive curation. In haplotype 1, scaffold order and orientation is uncertain on chromosome 4 (between 278.43-283.90 Mb), chromosome 6 (between 143.10-170.11 Mb), and chromosome 11 (between 4.30-6.60 Mb)","USA: Atlanta, Georgia","33.611291 N 84.298217 W",33.611291,-84.298217
"338","SAMN31837211","Microtus californicus","GCA_028537955.1","mammal","USA: CA, Kern County; Canebrake Creek, E end Kern River Plateau","35.7507 N 118.11022 W",NA,"USA: CA, Kern County; Canebrake Creek, E end Kern River Plateau","35.7507 N 118.11022 W",35.7507,-118.11022
"339","SAMN31837216","Aphelocoma californica","GCA_028536675.1","bird","USA: Cow Mountain Recreation Management Area, Mayacamas Mts., Lake Co. California","39.10238 N 123.07647 W","The mitochondrial genome (sequence JAQMYR010001393.1) was generated with MitoHiFi (V2.2) using the existing Aphelocoma coerulescens mitochondrial sequence (NC_051467.1) as a reference.","USA: Cow Mountain Recreation Management Area, Mayacamas Mts., Lake Co. California","39.10238 N 123.07647 W",39.10238,-123.07647
"340","SAMN32104255","Rissa tridactyla","GCA_028500815.1","bird",NA,NA,NA,NA,NA,NA,NA
"341","SAMN32145295","Dendropsophus ebraccatus","GCA_027789765.1","amphibian","USA: Vassar College, Poughkeepsie, New York","41.684639 N 73.895553 W",NA,"USA: Vassar College, Poughkeepsie, New York","41.684639 N 73.895553 W",41.684639,-73.895553
"342","SAMN32206947","Cynocephalus volans","GCA_027409185.1","mammal",NA,NA,NA,NA,NA,NA,NA
"343","SAMN32224830","Scomber japonicus","GCA_027409825.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"344","SAMN32256411","Gypaetus barbatus","GCA_028022735.1","bird","Spain: Ainsa","42.428074 N 0.135667 E","Order and orientation of contigs in the following centromeric repeats is uncertain: chromosome 1 20.6-23.9mb, chromosome 2 19.1-22.2mb, chromosome 3 24.1-25.5mb, chromosome 4 37.9-39.1mb, chromosome 9, 17.3-22.8mb, chromosome 12 16.6-20.9mb, chromosome 14 20.6-23.5mb, chromosome 16 4.8-8.8mb, chromosome 19 0.7-3.6mb, chromosome 24 1-3.7mb, chromosome W 17.6-19.4mb chromosome 18 9.1-11.8mb","Spain: Ainsa","42.428074 N 0.135667 E",42.428074,0.135667
"345","SAMN32348883","Pangasianodon hypophthalmus","GCA_027358585.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"346","SAMN32359106","Erethizon dorsatum","GCA_028451465.1","mammal","USA: Northern Minnesota (exact location missing data)","46.7296 N 94.6859 W","In some mammalian (e.g. human and pale spear-nosed bat) the mEreDor Y chromosome of this assembly aligns to the Y chromosome, whereas in other species (e.g. ring-tailed lemur, grey squirrel) this region aligns to the X chromosome. As coverage of the X chromosome is haploid for this individual, we conclude that this sequence represents the Y chromosome in mEreDor","USA: Northern Minnesota (exact location missing data)","46.7296 N 94.6859 W",46.7296,-94.6859
"347","SAMN32477717","Sorex araneus","GCA_027595985.1","mammal",NA,NA,NA,NA,NA,NA,NA
"348","SAMN32606345","Rhea pennata","GCA_028389875.1","bird",NA,NA,NA,NA,NA,NA,NA
"349","SAMN32622440","Euleptes europaea","GCA_029931775.1","reptile",NA,NA,NA,NA,NA,NA,NA
"350","SAMN32629060","Balaenoptera ricei","GCA_028023285.1","mammal",NA,NA,NA,NA,NA,NA,NA
"351","SAMN32629250","Eschrichtius robustus","GCA_028021215.1","mammal","USA: North Pacific Ocean, near Crescent City, California","41.8349 N 124.2969 W","Hi-C data is from a different individual than that used to generate the Pacbio HiFi contigs. The following regions of the assembly are of undetermined order and orientation: Chromosome 1 region 77-81 Mb and 98-112.6 Mb: Chromosome 4 region 19.5-28.4 Mb; Chromosome 5 region 93-123 Mb; Chromosome 7 region 16.6-70 Mb; Chromosome 8 region 26.5-48 Mb; Chromosome 9 region 72.5-108 Mb; Chromosome 14 region 49.5-70 Mb; Chromosome 17 34-40 Mb","USA: North Pacific Ocean, near Crescent City, California","41.8349 N 124.2969 W",41.8349,-124.2969
"352","SAMN32629340","Hyla sarda","GCA_029499605.1","amphibian",NA,NA,NA,NA,NA,NA,NA
"353","SAMN32629383","Lycodopsis pacificus","GCA_028022725.1","ray-finned fish","USA: Monterey Bay, California","36.80463781 N 121.88689674 W",NA,"USA: Monterey Bay, California","36.80463781 N 121.88689674 W",36.80463781,-121.88689674
"354","SAMN32631236","Pseudophryne corroboree","GCA_028390025.1","amphibian",NA,NA,NA,NA,NA,NA,NA
"355","SAMN32631248","Erythrolamprus reginae","GCA_031021105.1","reptile","Colombia: Leticia, Amazonas, Reserva Natural Tanimboca","4.12 S 69.95 W","GenomeScope analyses indicates this individual is a triploid (model fits p=3); smudgeplot results in a proposed triploid, with a strong AAB signal. The Hifiasm + Hi-C process resulted in hap1 and hap2+3 assemblies, with hap2+3 having two copies of the genome based on QC metrics, while hap1 having one un-duplicated copy of the genome. This is supported by largely unduplicated BUSCO results, a largely 1 copy kmer-cn spectrum, and the length of the assembly being near to the expected genome size based on the triploid genomescope model. The hap1 assembly was scaffolded with Hi-C data using YAHS, and is what we are submitting for annotation. The hap2+3 assembly was purged with purge_dups, resulting in a purged hap2 only assembly and a remaining hap3 assembly, but were difficult to scaffold. Thus, hap2 and hap3 assembled are submitted as contigs only","Colombia: Leticia, Amazonas, Reserva Natural Tanimboca","4.12 S 69.95 W",-4.12,-69.95
"356","SAMN32738980","Dasypus novemcinctus","GCA_030445035.2","mammal","USA: Central Arkansas","35.0781 N 92.4579 W",NA,"USA: Central Arkansas","35.0781 N 92.4579 W",35.0781,-92.4579
"357","SAMN32739894","Pseudopipra pipra","GCA_036250125.1","bird",NA,NA,NA,NA,NA,NA,NA
"358","SAMN32739907","Liasis olivaceus","GCA_030867105.1","reptile","Australia: Perth Zoo, Australia","31.9732 S 115.8518 E",NA,"Australia: Perth Zoo, Australia","31.9732 S 115.8518 E",-31.9732,115.8518
"359","SAMN32740525","Hoplias malabaricus","GCA_029633855.2","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"360","SAMN32745077","Hypanus sabinus","GCA_030144855.1","cartilaginous fish",NA,NA,NA,NA,NA,NA,NA
"361","SAMN32746370","Mobula birostris","GCA_030035685.1","cartilaginous fish","USA: Marineland, Florida","29.6689 N 81.2134 W","The order and orientation of Chromosome 13 and Chromosome 28 for both haplotypes is undetermined; on haplotype 1 this is the region between 13.5 Mbp - 40 Mbp. Haplotype 1 assembly is
380 Mb bigger than the haplotype 2 assembly, but haplotype 2 has 3x fewer gaps","USA: Marineland, Florida","29.6689 N 81.2134 W",29.6689,-81.2134
"362","SAMN32746534","Eubalaena glacialis","GCA_028564815.2","mammal",NA,NA,NA,NA,NA,NA,NA
"363","SAMN32755940","Trichomycterus rosablanca","GCA_030014385.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"364","SAMN32756554","Loxodonta africana","GCA_030014295.1","mammal",NA,NA,NA,NA,NA,NA,NA
"365","SAMN32757332","Manis pentadactyla","GCA_030020395.1","mammal",NA,NA,NA,NA,NA,NA,NA
"366","SAMN32775697","Grus americana","GCA_028858705.1","bird",NA,NA,NA,NA,NA,NA,NA
"367","SAMN32797734","Inia geoffrensis","GCA_036417435.1","mammal","Venezuela: Rio Apure","7.61889 N 66.40557 W",NA,"Venezuela: Rio Apure","7.61889 N 66.40557 W",7.61889,-66.40557
"368","SAMN33059336","Ara ararauna","GCA_028858755.1","bird","USA: Dripping Springs, Texas","30.25717885 N 98.09274949 W","Both haplotypes were curated, but haplotype 1 is more complete","USA: Dripping Springs, Texas","30.25717885 N 98.09274949 W",30.25717885,-98.09274949
"369","SAMN33092455","Heterohyrax brucei","GCA_028571685.1","mammal","Germany: Opel Zoo, Kronberg im Taunus","50.183333 N 8.486389 E","The mHetBru1 assembly is characterized by telocentric repeats. As such, several centromeres were difficult to resolve and the order/orientation of scaffolds in these regions is uncertain","Germany: Opel Zoo, Kronberg im Taunus","50.183333 N 8.486389 E",50.183333,8.486389
"370","SAMN33212336","Dugong dugon","GCA_030035585.1","mammal","Australia: Moreton Bay, Queensland","27.15148032 S 153.0415985 E",NA,"Australia: Moreton Bay, Queensland","27.15148032 S 153.0415985 E",-27.15148032,153.0415985
"371","SAMN33339572","Colius striatus","GCA_028858725.2","bird",NA,NA,NA,NA,NA,NA,NA
"372","SAMN33342074","Hippopotamus amphibius kiboko","GCA_030028045.1","mammal",NA,NA,NA,NA,NA,NA,NA
"373","SAMN33386005","Chamaea fasciata","GCA_029207755.1","bird",NA,NA,NA,NA,NA,NA,NA
"374","SAMN33386007","Pituophis catenifer annectens","GCA_029215685.1","reptile",NA,"33.0553 N 117.2792 W",NA,NA,"33.0553 N 117.2792 W",33.0553,-117.2792
"375","SAMN33386026","Mirounga angustirostris","GCA_029215605.1","mammal",NA,NA,NA,NA,NA,NA,NA
"376","SAMN33386066","Anniella stebbinsi","GCA_029215795.1","reptile","USA:San Felipe Valley, San Diego County, California","33.128 N 116.52 W",NA,"USA:San Felipe Valley, San Diego County, California","33.128 N 116.52 W",33.128,-116.52
"377","SAMN33386125","Spea hammondii","GCA_029215755.1","amphibian",NA,"34.4680837 N 118.5479482 W",NA,NA,"34.4680837 N 118.5479482 W",34.4680837,-118.5479482
"378","SAMN34060140","Lampris incognitus","GCA_029633865.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"379","SAMN34081523","Rhinichthys osculus","GCA_029959095.1","ray-finned fish","USA:Bishop, California","37.50675 N 118.4149 W",NA,"USA:Bishop, California","37.50675 N 118.4149 W",37.50675,-118.4149
"380","SAMN34105704","Rhineura floridana","GCA_030035675.1","reptile",NA,NA,NA,NA,NA,NA,NA
"381","SAMN34116453","Gavialis gangeticus","GCA_030020295.1","reptile","USA: San Diego Zoo, San Diego","32.7360 N 117.1510 W","There is some uncertainty in structural organization of Chromosome 8 due to highly dense repeat content","USA: San Diego Zoo, San Diego","32.7360 N 117.1510 W",32.736,-117.151
"382","SAMN35074507","Poecile atricapillus","GCA_030490865.1","bird",NA,NA,NA,NA,NA,NA,NA
"383","SAMN35075070","Tadarida brasiliensis","GCA_030848825.1","mammal","USA: Texas A&M campus in the city of College Station, Brazos County, Texas",NA,NA,"USA: Texas A&M campus in the city of College Station, Brazos County, Texas",NA,30.6187,-96.3365
"384","SAMN35075251","Salminus brasiliensis","GCA_030463535.1","ray-finned fish","Argentina: Rio de la Plata, Buenos Aires","34.537336 S 58.438033 W",NA,"Argentina: Rio de la Plata, Buenos Aires","34.537336 S 58.438033 W",-34.537336,-58.438033
"385","SAMN35151422","Cyclura pinguis","GCA_030412105.1","reptile","USA: San Diego Zoo, San Diego","32.73555058 N 117.14936122 W",NA,"USA: San Diego Zoo, San Diego","32.73555058 N 117.14936122 W",32.73555058,-117.14936122
"386","SAMN35669201","Strix occidentalis","GCA_030819815.1","bird","USA: California, San Rafael","37.9679 N 122.5277 W",NA,"USA: California, San Rafael","37.9679 N 122.5277 W",37.9679,-122.5277
"387","SAMN35669231","Aquila chrysaetos","GCA_030820595.1","bird","USA: California, Ramona","33.069924 N 116.961487 W",NA,"USA: California, Ramona","33.069924 N 116.961487 W",33.069924,-116.961487
"388","SAMN35735684","Masticophis lateralis","GCA_030761175.1","reptile","USA:California, San Diego county","32.74739 N 116.83197 W",NA,"USA:California, San Diego county","32.74739 N 116.83197 W",32.74739,-116.83197
"389","SAMN35784560","Pelecanus crispus","GCA_030463565.1","bird","Denmark: Copenhagen Zoo","55.6724 N 12.5214 E",NA,"Denmark: Copenhagen Zoo","55.6724 N 12.5214 E",55.6724,12.5214
"390","SAMN35784765","Passerculus sandwichensis","GCA_031885435.1","bird","USA: Durham, New Hampshire","43.1461 N 70.9488 W",NA,"USA: Durham, New Hampshire","43.1461 N 70.9488 W",43.1461,-70.9488
"391","SAMN35822658","Ochotona princeps","GCA_030435755.1","mammal",NA,NA,NA,NA,NA,NA,NA
"392","SAMN35823397","Stegostoma tigrinum","GCA_030684315.1","cartilaginous fish",NA,NA,NA,NA,NA,NA,NA
"393","SAMN35845454","Gambelia wislizenii","GCA_030847615.1","reptile","USA: West slope of the Inyo Mountains, approx half-way from the mouth of French Spring Canyon to Owneyo Rd, just east of Lone Pine, Inyo County. California","36.6565016 N 118.0111543 W",NA,"USA: West slope of the Inyo Mountains, approx half-way from the mouth of French Spring Canyon to Owneyo Rd, just east of Lone Pine, Inyo County. California","36.6565016 N 118.0111543 W",36.6565016,-118.0111543
"394","SAMN35847297","Melospiza melodia melodia","GCA_035770615.1","bird",NA,NA,NA,NA,NA,NA,NA
"395","SAMN36277597","Hipposideros larvatus","GCA_031876335.1","mammal","China: Guilin City, Guangxi Province","25.17717498 N 110.34114361 E",NA,"China: Guilin City, Guangxi Province","25.17717498 N 110.34114361 E",25.17717498,110.34114361
"396","SAMN36356471","Oreortyx pictus","GCA_036925125.1","bird","USA: Pole Spring, 1mi. N and 1.5 mi E Butte Lake Campground, Lassen National Forest, Lassen County, California","40.58342 N 121.27661 W","The mitochondrial sequence was assembled with MitoHiFi, using the Odontophorus gujanensis mitochondrial sequence NC_052784.1 as the guide","USA: Pole Spring, 1mi. N and 1.5 mi E Butte Lake Campground, Lassen National Forest, Lassen County, California","40.58342 N 121.27661 W",40.58342,-121.27661
"397","SAMN36697770","Sebastes paucispinis","GCA_036937225.1","ray-finned fish","USA: California","33.996056 N 119.465111 W",NA,"USA: California","33.996056 N 119.465111 W",33.996056,-119.465111
"398","SAMN36900062","Moxostoma hubbsi","GCA_032164185.1","ray-finned fish","Canada: Estrie, Coaticook, Quebec","45.048289 N 71.907 W",NA,"Canada: Estrie, Coaticook, Quebec","45.048289 N 71.907 W",45.048289,-71.907
"399","SAMN36900204","Sistrurus catenatus","GCA_039880765.1","reptile","Canada: Ontario",NA,NA,"Canada: Ontario",NA,50.000678,-86.000977
"400","SAMN36908943","Leuresthes tenuis","GCA_036924055.1","ray-finned fish","USA: Surfrider Beach, Malibu","34.036017 N 118.678217 W",NA,"USA: Surfrider Beach, Malibu","34.036017 N 118.678217 W",34.036017,-118.678217
"401","SAMN36917319","Leptoclinus maculatus","GCA_032191485.1","ray-finned fish","Canada: Gulf of St. Lawrence, Quebec",NA,NA,"Canada: Gulf of St. Lawrence, Quebec",NA,48.8458439,-60.6664419
"402","SAMN36939365","Lycaon pictus","GCA_040955705.1","mammal","Denmark: Ree Park",NA,NA,"Denmark: Ree Park",NA,56.2613815,10.736958
"403","SAMN36942433","Eumetopias jubatus","GCA_037043125.1","mammal","Canada: Vancouver, British Columbia",NA,NA,"Canada: Vancouver, British Columbia",NA,49.2608724,-123.113952
"404","SAMN36942437","Coluber constrictor foxii","GCA_038048745.1","reptile","Canada: Simcoe Lakes, Ontario",NA,NA,"Canada: Simcoe Lakes, Ontario",NA,44.2599728,-78.9686823
"405","SAMN36942438","Glyptemys insculpta","GCA_032172135.1","reptile","Canada: Peterborough, Ontario",NA,NA,"Canada: Peterborough, Ontario",NA,52.5725769,-0.2427336
"406","SAMN36942439","Emydoidea blandingii","GCA_036785055.1","reptile","Canada: Peterborough, Ontario",NA,NA,"Canada: Peterborough, Ontario",NA,52.5725769,-0.2427336
"407","SAMN36942441","Sternotherus odoratus","GCA_032164245.1","reptile","Canada: Peterborough, Ontario",NA,NA,"Canada: Peterborough, Ontario",NA,52.5725769,-0.2427336
"408","SAMN36942444","Malacoraja senta","GCA_038087875.1","cartilaginous fish","Canada: Nova Scotia, Scotian Shelf, Atlantic Ocean","42.9092 N 66.0448 W",NA,"Canada: Nova Scotia, Scotian Shelf, Atlantic Ocean","42.9092 N 66.0448 W",42.9092,-66.0448
"409","SAMN36942445","Pantherophis vulpinus","GCA_037215915.1","reptile","Canada: Peterborough, Ontario",NA,NA,"Canada: Peterborough, Ontario",NA,52.5725769,-0.2427336
"410","SAMN37045233","Alligator mississippiensis","GCA_030867095.1","reptile",NA,NA,NA,NA,NA,NA,NA
"411","SAMN37052244","Macrochelys suwanniensis","GCA_033296515.1","reptile","USA: Suwannee River, Branford, Florida","29.958 N 82.9324 W",NA,"USA: Suwannee River, Branford, Florida","29.958 N 82.9324 W",29.958,-82.9324
"412","SAMN37055462","Opisthocomus hoazin","GCA_030867145.1","bird","Colombia: Reserva Barcelona de la Universidad de los Llanos, Municipio de Villavicencio, Departamento del Meta, Colombia","4.07374 N 73.58152 W",NA,"Colombia: Reserva Barcelona de la Universidad de los Llanos, Municipio de Villavicencio, Departamento del Meta, Colombia","4.07374 N 73.58152 W",4.07374,-73.58152
"413","SAMN37055805","Leptodactylus fuscus","GCA_031893025.1","amphibian","Colombia: Bogota","4.60064 N 74.06604 W",NA,"Colombia: Bogota","4.60064 N 74.06604 W",4.60064,-74.06604
"414","SAMN37055808","Strix aluco","GCA_031877785.1","bird","Spain: San Sebastian",NA,NA,"Spain: San Sebastian",NA,43.3224219,-1.9838889
"415","SAMN37096299","Morus bassanus","GCA_031468815.1","bird","Germany: Leibniz Institute for Zoo and Wildlife Research, Berlin","52.505920 N 13.521290 E",NA,"Germany: Leibniz Institute for Zoo and Wildlife Research, Berlin","52.505920 N 13.521290 E",52.50592,13.52129
"416","SAMN37096312","Gavia stellata","GCA_030936135.1","bird",NA,NA,NA,NA,NA,NA,NA
"417","SAMN37096863","Tapirus indicus","GCA_031878705.1","mammal","USA: San Diego Zoo, San Diego","32.7360 N 117.1510 W",NA,"USA: San Diego Zoo, San Diego","32.7360 N 117.1510 W",32.736,-117.151
"418","SAMN37110875","Pelodytes ibericus","GCA_036172775.1","amphibian","Spain: Isla Mayor, Seville province","37.072028 N 6.271194 W",NA,"Spain: Isla Mayor, Seville province","37.072028 N 6.271194 W",37.072028,-6.271194
"419","SAMN37159891","Candoia aspera","GCA_035149785.1","reptile",NA,NA,NA,NA,NA,NA,NA
"420","SAMN37253778","Heliangelus exortis","GCA_036169615.1","bird","Colombia: Parque Verde Y Agua, Fusagasuga, Cundinamarca","4.35 N 74.33 W",NA,"Colombia: Parque Verde Y Agua, Fusagasuga, Cundinamarca","4.35 N 74.33 W",4.35,-74.33
"421","SAMN37284216","Leptosomus discolor","GCA_034619465.1","bird","Germany: Walsrode Bird Park","52.880915 N 9.602908 E",NA,"Germany: Walsrode Bird Park","52.880915 N 9.602908 E",52.880915,9.602908
"422","SAMN37288508","Saccopteryx bilineata","GCA_036850765.1","mammal",NA,NA,NA,NA,NA,NA,NA
"423","SAMN37300244","Thomomys bottae","GCA_031878665.1","mammal","USA: San Bernardino County Specific Locality, Harvard, California","34.9365976 N 116.66389 W",NA,"USA: San Bernardino County Specific Locality, Harvard, California","34.9365976 N 116.66389 W",34.9365976,-116.66389
"424","SAMN37319749","Tiliqua scincoides","GCA_035046505.1","reptile",NA,NA,NA,NA,NA,NA,NA
"425","SAMN37390139","Saccopteryx leptura","GCA_036850995.1","mammal",NA,NA,NA,NA,NA,NA,NA
"426","SAMN37669969","Chiloscyllium plagiosum","GCA_037043375.1","cartilaginous fish","China: Xiamen, Xiangan",NA,NA,"China: Xiamen, Xiangan",NA,24.5438732,118.0768065
"427","SAMN37790936","Cololabis saira","GCA_040207315.1","ray-finned fish","Japan:Fukushima",NA,NA,"Japan:Fukushima",NA,37.760777,140.4745807
"428","SAMN37797016","Lithobates pipiens","GCA_037367395.1","amphibian","Canada: British Columbia, Creston, Duck Lake",NA,NA,"Canada: British Columbia, Creston, Duck Lake",NA,55.001251,-125.002441
"429","SAMN37797017","Pantherophis spiloides","GCA_037575465.1","reptile","Canada: Ontario, Simcoe Lakes",NA,NA,"Canada: Ontario, Simcoe Lakes",NA,50.000678,-86.000977
"430","SAMN37797018","Chrysemys picta marginata","GCA_037418315.1","reptile","Canada: Ontario, Peterborough",NA,NA,"Canada: Ontario, Peterborough",NA,50.000678,-86.000977
"431","SAMN37797019","Graptemys geographica","GCA_037349215.1","reptile","Canada: Ontario, Peterborough",NA,NA,"Canada: Ontario, Peterborough",NA,50.000678,-86.000977
"432","SAMN37797020","Chelydra serpentina","GCA_037349315.1","reptile","Canada: Ontario, Peterborough",NA,NA,"Canada: Ontario, Peterborough",NA,50.000678,-86.000977
"433","SAMN37797021","Chrysemys picta bellii","GCA_037349265.1","reptile","Canada: Ontario, Peterborough",NA,NA,"Canada: Ontario, Peterborough",NA,50.000678,-86.000977
"434","SAMN37908444","Phoxinus phoxinus","GCA_037504845.1","ray-finned fish","Germany: North-Rhine Westphalia, River Sieg",NA,NA,"Germany: North-Rhine Westphalia, River Sieg",NA,51.4789205,7.5543751
"435","SAMN38285717","Carcharodon carcharias","GCA_036900835.1","cartilaginous fish","USA: California, Santa Cruz","36.95349 N 121.88471 W",NA,"USA: California, Santa Cruz","36.95349 N 121.88471 W",36.95349,-121.88471
"436","SAMN38891892","Columba livia","GCA_036013475.2","bird",NA,NA,NA,NA,NA,NA,NA
"437","SAMN38891902","Heptranchias perlo","GCA_035084215.1","cartilaginous fish",NA,NA,NA,NA,NA,NA,NA
"438","SAMN39150572","Eleutherodactylus coqui","GCA_035609145.1","amphibian",NA,NA,NA,NA,NA,NA,NA
"439","SAMN39156054","Hydrolagus colliei","GCA_035084275.1","cartilaginous fish","USA: San Juan Island, Washington","48.564472 N 123.013778 W",NA,"USA: San Juan Island, Washington","48.564472 N 123.013778 W",48.564472,-123.013778
"440","SAMN39181024","Ammospiza maritima maritima","GCA_036010785.1","bird","USA: Barn Island Wildlife Management Area in Stonington, Connecticut","41.338 N 71.8677 W",NA,"USA: Barn Island Wildlife Management Area in Stonington, Connecticut","41.338 N 71.8677 W",41.338,-71.8677
"441","SAMN39187339","Xenopus petersii","GCA_038501925.1","amphibian","USA: Xenopus Express, Brooksville, Florida","28.5600 N 82.3900 W",NA,"USA: Xenopus Express, Brooksville, Florida","28.5600 N 82.3900 W",28.56,-82.39
"442","SAMN39244120","Pelobates fuscus","GCA_036172585.1","amphibian","Hungary: Kunpeszer","47.066667 N 19.283333 E",NA,"Hungary: Kunpeszer","47.066667 N 19.283333 E",47.066667,19.283333
"443","SAMN39255856","Passer domesticus","GCA_036417665.1","bird",NA,NA,NA,NA,NA,NA,NA
"444","SAMN39256628","Caloenas nicobarica","GCA_036013445.1","bird",NA,NA,NA,NA,NA,NA,NA
"445","SAMN39257886","Apteryx mantelli","GCA_036417845.1","bird",NA,NA,NA,NA,NA,NA,NA
"446","SAMN39262816","Dromaius novaehollandiae","GCA_036370855.1","bird",NA,NA,NA,NA,NA,NA,NA
"447","SAMN39296380","Camelus dromedarius","GCA_036321535.1","mammal",NA,NA,NA,NA,NA,NA,NA
"448","SAMN39296383","Chlamydotis macqueenii","GCA_036418225.1","bird","Qatar: Rawdat Al Faras Houbara Breeding Center","25.82191 N 51.33107 E",NA,"Qatar: Rawdat Al Faras Houbara Breeding Center","25.82191 N 51.33107 E",25.82191,51.33107
"449","SAMN39296386","Equus caballus","GCA_036426135.1","mammal","Qatar: Al Shaqab Equestrian Center","25.30811074 N 51.44314587 E",NA,"Qatar: Al Shaqab Equestrian Center","25.30811074 N 51.44314587 E",25.30811074,51.44314587
"450","SAMN39325148","Narcine bancroftii","GCA_036971175.1","cartilaginous fish","USA: Apalachee Bay near Panacea, Florida","30.037222 N 84.170833 W",NA,"USA: Apalachee Bay near Panacea, Florida","30.037222 N 84.170833 W",30.037222,-84.170833
"451","SAMN39404770","Equus przewalskii","GCA_037783145.1","mammal","USA: Minnesota",NA,NA,"USA: Minnesota",NA,45.9896587,-94.6113288
"452","SAMN39432692","Heterodontus francisci","GCA_036365525.1","cartilaginous fish",NA,NA,NA,NA,NA,NA,NA
"453","SAMN39643085","Amia calva","GCA_036373705.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"454","SAMN39657083","Mixophyes fleayi","GCA_038048845.1","amphibian","Australia: New South Wales","28.37763 S 153.06856 E",NA,"Australia: New South Wales","28.37763 S 153.06856 E",-28.37763,153.06856
"455","SAMN39710062","Clemmys guttata","GCA_040208425.1","reptile","Canada: Ontario",NA,NA,"Canada: Ontario",NA,50.000678,-86.000977
"456","SAMN39710063","Buteo regalis","GCA_037951015.1","bird","Canada: Ontario, Cambridge",NA,NA,"Canada: Ontario, Cambridge",NA,50.000678,-86.000977
"457","SAMN39710064","Marmota vancouverensis","GCA_040207195.1","mammal","Canada: British Columbia, Courtenay, Tony Barrett Mount Washington Marmot Recovery Centre",NA,NA,"Canada: British Columbia, Courtenay, Tony Barrett Mount Washington Marmot Recovery Centre",NA,55.001251,-125.002441
"458","SAMN39710065","Lithobates septentrionalis","GCA_037952835.1","amphibian","Canada: New Brunswick, Saint John, Loch Alva Protected Natural Area","45.183301 N 66.363167 W",NA,"Canada: New Brunswick, Saint John, Loch Alva Protected Natural Area","45.183301 N 66.363167 W",45.183301,-66.363167
"459","SAMN39710066","Lithobates clamitans","GCA_037952925.1","amphibian","Canada: New Brunswick, Saint John, Loch Alva Protected Natural Area","45.183301 N 66.363167 W",NA,"Canada: New Brunswick, Saint John, Loch Alva Protected Natural Area","45.183301 N 66.363167 W",45.183301,-66.363167
